"店舗名／法人名","都道府県","提案区分","ドリスロ提案区分","エリア表記(ドリスロ)","DMM_エリア表記","インフル依頼","フェーズ","案件 所有者","初開催フラグ","イベント日"
"マルハン綾瀬上土棚店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","綾瀬市上土棚北","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"出玉王田無店","東京都","ZIZAI_ドリスロ","ジャグ・ハナ","西東京市新青梅街道沿「田無タワー」近くのお店","","","100%：受注確定","小野田 眞一","0","2022/03/05"
"マルハン茅ヶ崎店","神奈川県","ZIZAI_ドリスロ","3台並び","茅ヶ崎市中島","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"ピーアーク新城マックスパチンコ","神奈川県","ZIZAI_ドリスロ","3台並び","JR武蔵新城駅　改札目の前のビル","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"ビッグアップル.秋葉原店","東京都","ZIZAI_ドリスロ","3台並び","東京都の肉屋と橋の近くのお店","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"ゴードン祖師谷店","東京都","ZIZAI_ドリスロ","3台並び","翌日0時公開","","","100%：受注確定","金井 英中","0","2022/03/05"
"ゴードン永山","東京都","ZIZAI_ドリスロ","3台並び","","","","100%：受注確定","金井 英中","1","2022/03/05"
"ピーアーク北千住SSS","東京都","ZIZAI_ドリスロ","3台並び","北千住駅近くの専門店","","","100%：受注確定","佐藤 寿","0","2022/03/05"
"123笹塚店","東京都","ZIZAI_ドリスロ","3台並び","","","","100%：受注確定","吉川 英優","0","2022/03/05"
"スロットスーパーZX","千葉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","船橋市イエローハット近くのお店","","","100%：受注確定","高野 純一","1","2022/03/06"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","狭山市智光山公園側","","","100%：受注確定","吉川 英優","0","2022/03/08"
"アスカ杉戸店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","北葛飾郡杉戸町2404","","","100%：受注確定","吉川 英優","0","2022/03/08"
"ピーアーク　ピーくんガーデン","東京都","ZIZAI_ドリスロ","3台並び","足立区郊外店","","","100%：受注確定","佐藤 寿","0","2022/03/09"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","","100%：受注確定","佐藤 寿","0","2022/03/09"
"マルハン千葉北店","千葉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","千葉市稲毛区千葉北IC近く長沼原交差点すぐのお店","","","100%：受注確定","高野 純一","0","2022/03/09"
"パールショップともえ木更津店","千葉県","ZIZAI_ドリスロ","3台並び","木更津中里 セブンイレブン付近のお店","","","100%：受注確定","高野 純一","0","2022/03/10"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市都筑区茅ヶ崎中央","","","100%：受注確定","小野田 眞一","0","2022/03/11"
"ピーアーク竹ノ塚","東京都","ZIZAI_ドリスロ","3台並び","竹ノ塚駅前のお店","","","100%：受注確定","佐藤 寿","0","2022/03/11"
"ゴードン西川口店","埼玉県","ZIZAI_ドリスロ","3台並び","西川口駅東口ミスタードーナツの隣","","荻吉","100%：受注確定","金井 英中","1","2022/03/11"
"サンパレス大杉店","東京都","ZIZAI_ドリスロ","3台並び","江戸川区環七通り大杉5丁目交差点近くのお店","","","100%：受注確定","小野田 眞一","0","2022/03/11"
"ピーアーク北千住SSS","東京都","ZIZAI_ドリスロ","3台並び","北千住駅近くの専門店","","","100%：受注確定","佐藤 寿","0","2022/03/12"
"123笹塚店","東京都","ZIZAI_ドリスロ","3台並び","","","カリスマ","100%：受注確定","吉川 英優","0","2022/03/12"
"エスパス日拓秋葉原駅前店","東京都","ZIZAI_ドリスロ","全台; 3台並び","東京都のメイドが集う街の駅近くにあるお店","","","100%：受注確定","佐藤 寿","0","2022/03/12"
"マルハン綾瀬上土棚店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","綾瀬市上土棚北","","れおまとめて","100%：受注確定","佐藤 寿","0","2022/03/12"
"マルハン茅ヶ崎店","神奈川県","ZIZAI_ドリスロ","3台並び","茅ヶ崎市中島","","れおまとめて","100%：受注確定","佐藤 寿","0","2022/03/12"
"マルハン習志野店","千葉県","ZIZAI_ドリスロ","ジャグ・ハナ","習志野市屋敷交差点付近","","","100%：受注確定","高野 純一","0","2022/03/12"
"マルハン川崎桜本店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","川崎市川崎区桜本","","れおまとめて","100%：受注確定","佐藤 寿","0","2022/03/12"
"ピーアークおゆみ野","千葉県","ZIZAI_ドリスロ","ジャグ・ハナ","千葉市緑区おゆみ野　鎌取駅　駅前","","","100%：受注確定","佐藤 寿","0","2022/03/12"
